"Age","Year","Value","Mode","Data","Source","Model"
10,2017,0.291886962580434,"Private car","Annual survival rate","LTA",NA
11,2017,0.986780013879251,"Private car","Annual survival rate","LTA",NA
12,2017,0.930688846235871,"Private car","Annual survival rate","LTA",NA
13,2017,0.890222984562607,"Private car","Annual survival rate","LTA",NA
14,2017,0.826714801444043,"Private car","Annual survival rate","LTA",NA
1,2018,0.995524701464842,"Private car","Annual survival rate","LTA",NA
2,2018,0.9768423951711,"Private car","Annual survival rate","LTA",NA
3,2018,0.973053108921252,"Private car","Annual survival rate","LTA",NA
4,2018,0.937623274161736,"Private car","Annual survival rate","LTA",NA
5,2018,0.889181437773285,"Private car","Annual survival rate","LTA",NA
6,2018,0.901585627659975,"Private car","Annual survival rate","LTA",NA
7,2018,0.943163577995039,"Private car","Annual survival rate","LTA",NA
8,2018,0.968815322541442,"Private car","Annual survival rate","LTA",NA
9,2018,0.924775251189847,"Private car","Annual survival rate","LTA",NA
10,2018,0.426187869004211,"Private car","Annual survival rate","LTA",NA
11,2018,0.960999754273879,"Private car","Annual survival rate","LTA",NA
12,2018,0.907169731706459,"Private car","Annual survival rate","LTA",NA
13,2018,0.765009165902841,"Private car","Annual survival rate","LTA",NA
14,2018,0.719974309569685,"Private car","Annual survival rate","LTA",NA
1,2006,0.99381290216136,"Motorcycle","Annual survival rate","LTA",NA
2,2006,0.989311957247829,"Motorcycle","Annual survival rate","LTA",NA
3,2006,0.986337683523654,"Motorcycle","Annual survival rate","LTA",NA
4,2006,0.984938851738057,"Motorcycle","Annual survival rate","LTA",NA
5,2006,0.975470404509789,"Motorcycle","Annual survival rate","LTA",NA
6,2006,0.959065456651863,"Motorcycle","Annual survival rate","LTA",NA
7,2006,0.947294117647059,"Motorcycle","Annual survival rate","LTA",NA
8,2006,0.936663936663937,"Motorcycle","Annual survival rate","LTA",NA
9,2006,0.910721735502712,"Motorcycle","Annual survival rate","LTA",NA
10,2006,0.806610215788036,"Motorcycle","Annual survival rate","LTA",NA
11,2006,0.890441839495041,"Motorcycle","Annual survival rate","LTA",NA
12,2006,0.871492572506484,"Motorcycle","Annual survival rate","LTA",NA
13,2006,0.870987465606848,"Motorcycle","Annual survival rate","LTA",NA
14,2006,0.833946400420389,"Motorcycle","Annual survival rate","LTA",NA
15,2006,0.793497892835641,"Motorcycle","Annual survival rate","LTA",NA
16,2006,0.906271072151045,"Motorcycle","Annual survival rate","LTA",NA
17,2006,0.896567299006323,"Motorcycle","Annual survival rate","LTA",NA
18,2006,0.873749037721324,"Motorcycle","Annual survival rate","LTA",NA
19,2006,0.873015873015873,"Motorcycle","Annual survival rate","LTA",NA
1,2007,0.989699720670391,"Motorcycle","Annual survival rate","LTA",NA
2,2007,0.987548767327965,"Motorcycle","Annual survival rate","LTA",NA
3,2007,0.987846049966239,"Motorcycle","Annual survival rate","LTA",NA
4,2007,0.985252567018124,"Motorcycle","Annual survival rate","LTA",NA
5,2007,0.98464737904459,"Motorcycle","Annual survival rate","LTA",NA
6,2007,0.968059351815697,"Motorcycle","Annual survival rate","LTA",NA
7,2007,0.945943225286893,"Motorcycle","Annual survival rate","LTA",NA
8,2007,0.921261798310979,"Motorcycle","Annual survival rate","LTA",NA
9,2007,0.884290294374818,"Motorcycle","Annual survival rate","LTA",NA
10,2007,0.779890059551076,"Motorcycle","Annual survival rate","LTA",NA
11,2007,0.9227903826617,"Motorcycle","Annual survival rate","LTA",NA
12,2007,0.876962025316456,"Motorcycle","Annual survival rate","LTA",NA
13,2007,0.850108225108225,"Motorcycle","Annual survival rate","LTA",NA
14,2007,0.868725868725869,"Motorcycle","Annual survival rate","LTA",NA
15,2007,0.787019533711405,"Motorcycle","Annual survival rate","LTA",NA
16,2007,0.917298937784522,"Motorcycle","Annual survival rate","LTA",NA
17,2007,0.910714285714286,"Motorcycle","Annual survival rate","LTA",NA
18,2007,0.886649874055416,"Motorcycle","Annual survival rate","LTA",NA
19,2007,0.874008810572687,"Motorcycle","Annual survival rate","LTA",NA
1,2008,0.987334429082471,"Motorcycle","Annual survival rate","LTA","min"
2,2008,0.984476980067031,"Motorcycle","Annual survival rate","LTA","min"
3,2008,0.986803395814071,"Motorcycle","Annual survival rate","LTA","min"
4,2008,0.983253588516746,"Motorcycle","Annual survival rate","LTA","min"
5,2008,0.98580121703854,"Motorcycle","Annual survival rate","LTA","min"
6,2008,0.98117778606038,"Motorcycle","Annual survival rate","LTA","min"
7,2008,0.962245885769603,"Motorcycle","Annual survival rate","LTA","min"
8,2008,0.932318825156965,"Motorcycle","Annual survival rate","LTA","min"
9,2008,0.875033701806417,"Motorcycle","Annual survival rate","LTA","min"
10,2008,0.721984179301252,"Motorcycle","Annual survival rate","LTA","min"
11,2008,0.940675477239354,"Motorcycle","Annual survival rate","LTA","min"
12,2008,0.922201834862385,"Motorcycle","Annual survival rate","LTA","min"
13,2008,0.901270207852194,"Motorcycle","Annual survival rate","LTA","min"
14,2008,0.871101209420751,"Motorcycle","Annual survival rate","LTA","min"
15,2008,0.871111111111111,"Motorcycle","Annual survival rate","LTA","min"
16,2008,0.897518014411529,"Motorcycle","Annual survival rate","LTA","min"
17,2008,0.904880066170389,"Motorcycle","Annual survival rate","LTA","min"
18,2008,0.848856209150327,"Motorcycle","Annual survival rate","LTA","min"
19,2008,0.714204545454545,"Motorcycle","Annual survival rate","LTA","min"
1,2009,0.991486068111455,"Motorcycle","Annual survival rate","LTA","def"
2,2009,0.986682334508421,"Motorcycle","Annual survival rate","LTA","def"
3,2009,0.983873857731589,"Motorcycle","Annual survival rate","LTA","def"
4,2009,0.982964224872232,"Motorcycle","Annual survival rate","LTA","def"
5,2009,0.983924226624957,"Motorcycle","Annual survival rate","LTA","def"
6,2009,0.97914005959983,"Motorcycle","Annual survival rate","LTA","def"
7,2009,0.977334599556822,"Motorcycle","Annual survival rate","LTA","def"
8,2009,0.945422535211268,"Motorcycle","Annual survival rate","LTA","def"
9,2009,0.901837689761443,"Motorcycle","Annual survival rate","LTA","def"
10,2009,0.753196733939301,"Motorcycle","Annual survival rate","LTA","def"
11,2009,0.939968043825611,"Motorcycle","Annual survival rate","LTA","def"
12,2009,0.926319075866375,"Motorcycle","Annual survival rate","LTA","def"
13,2009,0.926780740151214,"Motorcycle","Annual survival rate","LTA","def"
14,2009,0.874439461883408,"Motorcycle","Annual survival rate","LTA","def"
15,2009,0.845085860431129,"Motorcycle","Annual survival rate","LTA","def"
16,2009,0.890074211502783,"Motorcycle","Annual survival rate","LTA","def"
17,2009,0.910793933987511,"Motorcycle","Annual survival rate","LTA","def"
18,2009,0.90036563071298,"Motorcycle","Annual survival rate","LTA","def"
19,2009,0.810394610202117,"Motorcycle","Annual survival rate","LTA","def"
1,2010,0.990597031834145,"Motorcycle","Annual survival rate","LTA",NA
2,2010,0.989363778298205,"Motorcycle","Annual survival rate","LTA",NA
3,2010,0.989777689559349,"Motorcycle","Annual survival rate","LTA",NA
4,2010,0.987616099071207,"Motorcycle","Annual survival rate","LTA",NA
5,2010,0.980675909878683,"Motorcycle","Annual survival rate","LTA",NA
6,2010,0.979599046189172,"Motorcycle","Annual survival rate","LTA",NA
7,2010,0.98036231884058,"Motorcycle","Annual survival rate","LTA",NA
8,2010,0.970590140571355,"Motorcycle","Annual survival rate","LTA",NA
9,2010,0.921433005231888,"Motorcycle","Annual survival rate","LTA",NA
10,2010,0.754081761802303,"Motorcycle","Annual survival rate","LTA",NA
11,2010,0.950705665780323,"Motorcycle","Annual survival rate","LTA",NA
12,2010,0.940990772219524,"Motorcycle","Annual survival rate","LTA",NA
13,2010,0.936636332996293,"Motorcycle","Annual survival rate","LTA",NA
14,2010,0.918849291541434,"Motorcycle","Annual survival rate","LTA",NA
15,2010,0.86007326007326,"Motorcycle","Annual survival rate","LTA",NA
16,2010,0.894076956333766,"Motorcycle","Annual survival rate","LTA",NA
17,2010,0.889004689942678,"Motorcycle","Annual survival rate","LTA",NA
18,2010,0.901077375122429,"Motorcycle","Annual survival rate","LTA",NA
19,2010,0.863959390862944,"Motorcycle","Annual survival rate","LTA",NA
1,2011,0.993558580456976,"Motorcycle","Annual survival rate","LTA",NA
2,2011,0.992337602927722,"Motorcycle","Annual survival rate","LTA",NA
3,2011,0.989939836275767,"Motorcycle","Annual survival rate","LTA",NA
4,2011,0.990674822019453,"Motorcycle","Annual survival rate","LTA",NA
5,2011,0.987829614604463,"Motorcycle","Annual survival rate","LTA",NA
6,2011,0.982415834585137,"Motorcycle","Annual survival rate","LTA",NA
7,2011,0.977010457987739,"Motorcycle","Annual survival rate","LTA",NA
8,2011,0.970803459235716,"Motorcycle","Annual survival rate","LTA",NA
9,2011,0.909230461189348,"Motorcycle","Annual survival rate","LTA",NA
10,2011,0.657877008950053,"Motorcycle","Annual survival rate","LTA",NA
11,2011,0.956864719704599,"Motorcycle","Annual survival rate","LTA",NA
12,2011,0.94750430292599,"Motorcycle","Annual survival rate","LTA",NA
13,2011,0.938838709677419,"Motorcycle","Annual survival rate","LTA",NA
14,2011,0.9273119827276,"Motorcycle","Annual survival rate","LTA",NA
15,2011,0.89392523364486,"Motorcycle","Annual survival rate","LTA",NA
16,2011,0.923339011925043,"Motorcycle","Annual survival rate","LTA",NA
17,2011,0.885396518375242,"Motorcycle","Annual survival rate","LTA",NA
18,2011,0.878663540445487,"Motorcycle","Annual survival rate","LTA",NA
19,2011,0.834782608695652,"Motorcycle","Annual survival rate","LTA",NA
1,2012,0.996370917281942,"Motorcycle","Annual survival rate","LTA",NA
2,2012,0.986788990825688,"Motorcycle","Annual survival rate","LTA",NA
3,2012,0.988244785063962,"Motorcycle","Annual survival rate","LTA",NA
4,2012,0.99083391451629,"Motorcycle","Annual survival rate","LTA",NA
5,2012,0.988562753036437,"Motorcycle","Annual survival rate","LTA",NA
6,2012,0.984412917677805,"Motorcycle","Annual survival rate","LTA",NA
7,2012,0.974905558553697,"Motorcycle","Annual survival rate","LTA",NA
8,2012,0.961612992525607,"Motorcycle","Annual survival rate","LTA",NA
9,2012,0.908253388152886,"Motorcycle","Annual survival rate","LTA",NA
10,2012,0.707112970711297,"Motorcycle","Annual survival rate","LTA",NA
11,2012,0.942949093036864,"Motorcycle","Annual survival rate","LTA",NA
12,2012,0.942817049640414,"Motorcycle","Annual survival rate","LTA",NA
13,2012,0.931653042688465,"Motorcycle","Annual survival rate","LTA",NA
14,2012,0.907091808686091,"Motorcycle","Annual survival rate","LTA",NA
15,2012,0.86418315871168,"Motorcycle","Annual survival rate","LTA",NA
16,2012,0.914793518034501,"Motorcycle","Annual survival rate","LTA",NA
17,2012,0.877306273062731,"Motorcycle","Annual survival rate","LTA",NA
18,2012,0.808847624249044,"Motorcycle","Annual survival rate","LTA",NA
19,2012,0.728485657104736,"Motorcycle","Annual survival rate","LTA",NA
1,2013,1,"Motorcycle","Annual survival rate","LTA",NA
2,2013,0.991333835719668,"Motorcycle","Annual survival rate","LTA",NA
3,2013,0.986364199826453,"Motorcycle","Annual survival rate","LTA",NA
4,2013,0.989737609329446,"Motorcycle","Annual survival rate","LTA",NA
5,2013,0.986626445449975,"Motorcycle","Annual survival rate","LTA",NA
6,2013,0.986689874065731,"Motorcycle","Annual survival rate","LTA",NA
7,2013,0.980183938560728,"Motorcycle","Annual survival rate","LTA",NA
8,2013,0.950364424762432,"Motorcycle","Annual survival rate","LTA",NA
9,2013,0.902600518184435,"Motorcycle","Annual survival rate","LTA",NA
10,2013,0.726464917428116,"Motorcycle","Annual survival rate","LTA",NA
11,2013,0.952455102252673,"Motorcycle","Annual survival rate","LTA",NA
12,2013,0.930654669562519,"Motorcycle","Annual survival rate","LTA",NA
13,2013,0.919627906976744,"Motorcycle","Annual survival rate","LTA",NA
14,2013,0.894467462832074,"Motorcycle","Annual survival rate","LTA",NA
15,2013,0.785757575757576,"Motorcycle","Annual survival rate","LTA",NA
16,2013,0.927256398742703,"Motorcycle","Annual survival rate","LTA",NA
17,2013,0.897142857142857,"Motorcycle","Annual survival rate","LTA",NA
18,2013,0.849631966351209,"Motorcycle","Annual survival rate","LTA",NA
19,2013,0.743416610398379,"Motorcycle","Annual survival rate","LTA",NA
1,2014,1,"Motorcycle","Annual survival rate","LTA","max"
2,2014,0.994319910741455,"Motorcycle","Annual survival rate","LTA","max"
3,2014,0.990371215000634,"Motorcycle","Annual survival rate","LTA","max"
4,2014,0.989443257509111,"Motorcycle","Annual survival rate","LTA","max"
5,2014,0.987039000824791,"Motorcycle","Annual survival rate","LTA","max"
6,2014,0.98817774154097,"Motorcycle","Annual survival rate","LTA","max"
7,2014,0.985368890733631,"Motorcycle","Annual survival rate","LTA","max"
8,2014,0.973108918552912,"Motorcycle","Annual survival rate","LTA","max"
9,2014,0.920687311911465,"Motorcycle","Annual survival rate","LTA","max"
10,2014,0.65043589198384,"Motorcycle","Annual survival rate","LTA","max"
11,2014,0.977036695130395,"Motorcycle","Annual survival rate","LTA","max"
12,2014,0.967411444141689,"Motorcycle","Annual survival rate","LTA","max"
13,2014,0.948991498583097,"Motorcycle","Annual survival rate","LTA","max"
14,2014,0.933238923730528,"Motorcycle","Annual survival rate","LTA","max"
15,2014,0.803269754768392,"Motorcycle","Annual survival rate","LTA","max"
16,2014,0.969533359043579,"Motorcycle","Annual survival rate","LTA","max"
17,2014,0.952058111380145,"Motorcycle","Annual survival rate","LTA","max"
18,2014,0.936942675159236,"Motorcycle","Annual survival rate","LTA","max"
19,2014,0.876237623762376,"Motorcycle","Annual survival rate","LTA","max"
1,2015,1,"Motorcycle","Annual survival rate","LTA",NA
2,2015,0.996114996114996,"Motorcycle","Annual survival rate","LTA",NA
3,2015,0.995205549321636,"Motorcycle","Annual survival rate","LTA",NA
4,2015,0.989382115901241,"Motorcycle","Annual survival rate","LTA",NA
5,2015,0.986790295948177,"Motorcycle","Annual survival rate","LTA",NA
6,2015,0.988540050137281,"Motorcycle","Annual survival rate","LTA",NA
7,2015,0.986179867986799,"Motorcycle","Annual survival rate","LTA",NA
8,2015,0.981465880370682,"Motorcycle","Annual survival rate","LTA",NA
9,2015,0.942743538767396,"Motorcycle","Annual survival rate","LTA",NA
10,2015,0.531948544917756,"Motorcycle","Annual survival rate","LTA",NA
11,2015,0.976626348479895,"Motorcycle","Annual survival rate","LTA",NA
12,2015,0.979213416794614,"Motorcycle","Annual survival rate","LTA",NA
13,2015,0.975664713835061,"Motorcycle","Annual survival rate","LTA",NA
14,2015,0.927981731951519,"Motorcycle","Annual survival rate","LTA",NA
15,2015,0.818773032733579,"Motorcycle","Annual survival rate","LTA",NA
16,2015,0.976933514246947,"Motorcycle","Annual survival rate","LTA",NA
17,2015,0.975338106603023,"Motorcycle","Annual survival rate","LTA",NA
18,2015,0.945066124109868,"Motorcycle","Annual survival rate","LTA",NA
19,2015,0.887831407205982,"Motorcycle","Annual survival rate","LTA",NA
1,2016,1,"Motorcycle","Annual survival rate","LTA",NA
2,2016,0.996672418042889,"Motorcycle","Annual survival rate","LTA",NA
3,2016,0.994886462125152,"Motorcycle","Annual survival rate","LTA",NA
4,2016,0.992209922099221,"Motorcycle","Annual survival rate","LTA",NA
5,2016,0.991078355314197,"Motorcycle","Annual survival rate","LTA",NA
6,2016,0.986098596988029,"Motorcycle","Annual survival rate","LTA",NA
7,2016,0.985025963047941,"Motorcycle","Annual survival rate","LTA",NA
8,2016,0.978560970508262,"Motorcycle","Annual survival rate","LTA",NA
9,2016,0.947532188841202,"Motorcycle","Annual survival rate","LTA",NA
10,2016,0.568536482496837,"Motorcycle","Annual survival rate","LTA",NA
11,2016,0.968285431119921,"Motorcycle","Annual survival rate","LTA",NA
12,2016,0.977907949790795,"Motorcycle","Annual survival rate","LTA",NA
13,2016,0.977445422747558,"Motorcycle","Annual survival rate","LTA",NA
14,2016,0.942494226327945,"Motorcycle","Annual survival rate","LTA",NA
15,2016,0.754684838160136,"Motorcycle","Annual survival rate","LTA",NA
16,2016,0.98279057453005,"Motorcycle","Annual survival rate","LTA",NA
17,2016,0.973263888888889,"Motorcycle","Annual survival rate","LTA",NA
18,2016,0.956362153344209,"Motorcycle","Annual survival rate","LTA",NA
19,2016,0.855758880516685,"Motorcycle","Annual survival rate","LTA",NA
1,2017,1,"Motorcycle","Annual survival rate","LTA",NA
2,2017,1,"Motorcycle","Annual survival rate","LTA",NA
3,2017,0.996537653023371,"Motorcycle","Annual survival rate","LTA",NA
4,2017,0.99425037024131,"Motorcycle","Annual survival rate","LTA",NA
5,2017,0.99504132231405,"Motorcycle","Annual survival rate","LTA",NA
6,2017,0.988388780169602,"Motorcycle","Annual survival rate","LTA",NA
7,2017,0.987599530087456,"Motorcycle","Annual survival rate","LTA",NA
8,2017,0.978055657717298,"Motorcycle","Annual survival rate","LTA",NA
9,2017,0.936197499198461,"Motorcycle","Annual survival rate","LTA",NA
10,2017,0.6494168270864,"Motorcycle","Annual survival rate","LTA",NA
11,2017,0.957529673590504,"Motorcycle","Annual survival rate","LTA",NA
12,2017,0.962538382804504,"Motorcycle","Annual survival rate","LTA",NA
13,2017,0.961321239089509,"Motorcycle","Annual survival rate","LTA",NA
14,2017,0.920656465942744,"Motorcycle","Annual survival rate","LTA",NA
15,2017,0.64726782651311,"Motorcycle","Annual survival rate","LTA",NA
16,2017,0.982944569852019,"Motorcycle","Annual survival rate","LTA",NA
17,2017,0.970905172413793,"Motorcycle","Annual survival rate","LTA",NA
18,2017,0.959686050660007,"Motorcycle","Annual survival rate","LTA",NA
19,2017,0.890831556503198,"Motorcycle","Annual survival rate","LTA",NA
1,2006,1,"Bus","Annual survival rate","LTA","def"
2,2006,1,"Bus","Annual survival rate","LTA","def"
3,2006,1,"Bus","Annual survival rate","LTA","def"
4,2006,0.984350547730829,"Bus","Annual survival rate","LTA","def"
5,2006,0.971428571428571,"Bus","Annual survival rate","LTA","def"
6,2006,0.968217054263566,"Bus","Annual survival rate","LTA","def"
7,2006,0.963369963369963,"Bus","Annual survival rate","LTA","def"
8,2006,0.97522816166884,"Bus","Annual survival rate","LTA","def"
9,2006,0.977223427331887,"Bus","Annual survival rate","LTA","def"
10,2006,0.949554896142433,"Bus","Annual survival rate","LTA","def"
11,2006,0.998011928429423,"Bus","Annual survival rate","LTA","def"
12,2006,0.984072810011377,"Bus","Annual survival rate","LTA","def"
13,2006,0.96551724137931,"Bus","Annual survival rate","LTA","def"
14,2006,0.959459459459459,"Bus","Annual survival rate","LTA","def"
15,2006,0.941265060240964,"Bus","Annual survival rate","LTA","def"
16,2006,0.958333333333333,"Bus","Annual survival rate","LTA","def"
17,2006,0.912280701754386,"Bus","Annual survival rate","LTA","def"
18,2006,0.914691943127962,"Bus","Annual survival rate","LTA","def"
19,2006,0.25,"Bus","Annual survival rate","LTA","def"
1,2007,0.995939086294416,"Bus","Annual survival rate","LTA",NA
2,2007,0.998714652956298,"Bus","Annual survival rate","LTA",NA
3,2007,1,"Bus","Annual survival rate","LTA",NA
4,2007,0.991440798858773,"Bus","Annual survival rate","LTA",NA
5,2007,0.971383147853736,"Bus","Annual survival rate","LTA",NA
6,2007,0.977941176470588,"Bus","Annual survival rate","LTA",NA
7,2007,0.980784627702162,"Bus","Annual survival rate","LTA",NA
8,2007,0.973384030418251,"Bus","Annual survival rate","LTA",NA
9,2007,0.974598930481283,"Bus","Annual survival rate","LTA",NA
10,2007,0.982241953385128,"Bus","Annual survival rate","LTA",NA
11,2007,0.984375,"Bus","Annual survival rate","LTA",NA
12,2007,0.995019920318725,"Bus","Annual survival rate","LTA",NA
13,2007,0.989595375722543,"Bus","Annual survival rate","LTA",NA
14,2007,0.970663265306122,"Bus","Annual survival rate","LTA",NA
15,2007,0.945226917057903,"Bus","Annual survival rate","LTA",NA
16,2007,0.984,"Bus","Annual survival rate","LTA",NA
17,2007,0.94824016563147,"Bus","Annual survival rate","LTA",NA
18,2007,0.900641025641026,"Bus","Annual survival rate","LTA",NA
19,2007,0.295336787564767,"Bus","Annual survival rate","LTA",NA
1,2008,1,"Bus","Annual survival rate","LTA",NA
2,2008,0.998980632008155,"Bus","Annual survival rate","LTA",NA
3,2008,0.997425997425997,"Bus","Annual survival rate","LTA",NA
4,2008,0.998544395924309,"Bus","Annual survival rate","LTA",NA
5,2008,1,"Bus","Annual survival rate","LTA",NA
6,2008,0.978723404255319,"Bus","Annual survival rate","LTA",NA
7,2008,0.981203007518797,"Bus","Annual survival rate","LTA",NA
8,2008,0.977959183673469,"Bus","Annual survival rate","LTA",NA
9,2008,0.97265625,"Bus","Annual survival rate","LTA",NA
10,2008,0.947873799725652,"Bus","Annual survival rate","LTA",NA
11,2008,0.987570621468927,"Bus","Annual survival rate","LTA",NA
12,2008,0.995238095238095,"Bus","Annual survival rate","LTA",NA
13,2008,0.993993993993994,"Bus","Annual survival rate","LTA",NA
14,2008,0.977803738317757,"Bus","Annual survival rate","LTA",NA
15,2008,0.943495400788436,"Bus","Annual survival rate","LTA",NA
16,2008,0.975165562913907,"Bus","Annual survival rate","LTA",NA
17,2008,0.720325203252033,"Bus","Annual survival rate","LTA",NA
18,2008,0.825327510917031,"Bus","Annual survival rate","LTA",NA
19,2008,0.284697508896797,"Bus","Annual survival rate","LTA",NA
1,2009,0.99933598937583,"Bus","Annual survival rate","LTA","max"
2,2009,1,"Bus","Annual survival rate","LTA","max"
3,2009,0.997959183673469,"Bus","Annual survival rate","LTA","max"
4,2009,0.99741935483871,"Bus","Annual survival rate","LTA","max"
5,2009,0.992711370262391,"Bus","Annual survival rate","LTA","max"
6,2009,0.988489208633094,"Bus","Annual survival rate","LTA","max"
7,2009,0.961538461538462,"Bus","Annual survival rate","LTA","max"
8,2009,0.969348659003831,"Bus","Annual survival rate","LTA","max"
9,2009,0.97245409015025,"Bus","Annual survival rate","LTA","max"
10,2009,0.94243641231593,"Bus","Annual survival rate","LTA","max"
11,2009,0.98986975397974,"Bus","Annual survival rate","LTA","max"
12,2009,0.995423340961098,"Bus","Annual survival rate","LTA","max"
13,2009,0.985645933014354,"Bus","Annual survival rate","LTA","max"
14,2009,0.985901309164149,"Bus","Annual survival rate","LTA","max"
15,2009,0.970131421744325,"Bus","Annual survival rate","LTA","max"
16,2009,0.95125348189415,"Bus","Annual survival rate","LTA","max"
17,2009,0.874363327674024,"Bus","Annual survival rate","LTA","max"
18,2009,0.839729119638826,"Bus","Annual survival rate","LTA","max"
19,2009,0.383597883597884,"Bus","Annual survival rate","LTA","max"
1,2010,1,"Bus","Annual survival rate","LTA",NA
2,2010,1,"Bus","Annual survival rate","LTA",NA
3,2010,1,"Bus","Annual survival rate","LTA",NA
4,2010,0.997955010224949,"Bus","Annual survival rate","LTA",NA
5,2010,1,"Bus","Annual survival rate","LTA",NA
6,2010,0.995594713656388,"Bus","Annual survival rate","LTA",NA
7,2010,0.97962154294032,"Bus","Annual survival rate","LTA",NA
8,2010,0.972173913043478,"Bus","Annual survival rate","LTA",NA
9,2010,0.961791831357049,"Bus","Annual survival rate","LTA",NA
10,2010,0.912446351931331,"Bus","Annual survival rate","LTA",NA
11,2010,0.977272727272727,"Bus","Annual survival rate","LTA",NA
12,2010,0.994152046783626,"Bus","Annual survival rate","LTA",NA
13,2010,0.990804597701149,"Bus","Annual survival rate","LTA",NA
14,2010,0.977346278317152,"Bus","Annual survival rate","LTA",NA
15,2010,0.979570990806946,"Bus","Annual survival rate","LTA",NA
16,2010,0.972906403940887,"Bus","Annual survival rate","LTA",NA
17,2010,0.904831625183016,"Bus","Annual survival rate","LTA",NA
18,2010,0.846601941747573,"Bus","Annual survival rate","LTA",NA
19,2010,0.25,"Bus","Annual survival rate","LTA",NA
1,2011,1,"Bus","Annual survival rate","LTA",NA
2,2011,1,"Bus","Annual survival rate","LTA",NA
3,2011,1,"Bus","Annual survival rate","LTA",NA
4,2011,1,"Bus","Annual survival rate","LTA",NA
5,2011,0.998975409836066,"Bus","Annual survival rate","LTA",NA
6,2011,1,"Bus","Annual survival rate","LTA",NA
7,2011,0.991150442477876,"Bus","Annual survival rate","LTA",NA
8,2011,0.977711738484398,"Bus","Annual survival rate","LTA",NA
9,2011,0.948121645796064,"Bus","Annual survival rate","LTA",NA
10,2011,0.917808219178082,"Bus","Annual survival rate","LTA",NA
11,2011,0.990592662276576,"Bus","Annual survival rate","LTA",NA
12,2011,0.992732558139535,"Bus","Annual survival rate","LTA",NA
13,2011,0.986764705882353,"Bus","Annual survival rate","LTA",NA
14,2011,0.975638051044084,"Bus","Annual survival rate","LTA",NA
15,2011,0.960264900662252,"Bus","Annual survival rate","LTA",NA
16,2011,0.981230448383733,"Bus","Annual survival rate","LTA",NA
17,2011,0.887341772151899,"Bus","Annual survival rate","LTA",NA
18,2011,0.878640776699029,"Bus","Annual survival rate","LTA",NA
19,2011,0.238532110091743,"Bus","Annual survival rate","LTA",NA
1,2012,0.999334221038615,"Bus","Annual survival rate","LTA",NA
2,2012,0.997245179063361,"Bus","Annual survival rate","LTA",NA
3,2012,0.999273255813954,"Bus","Annual survival rate","LTA",NA
4,2012,0.999337309476474,"Bus","Annual survival rate","LTA",NA
5,2012,1,"Bus","Annual survival rate","LTA",NA
6,2012,0.995897435897436,"Bus","Annual survival rate","LTA",NA
7,2012,0.990944372574386,"Bus","Annual survival rate","LTA",NA
8,2012,0.986607142857143,"Bus","Annual survival rate","LTA",NA
9,2012,0.919452887537994,"Bus","Annual survival rate","LTA",NA
10,2012,0.794339622641509,"Bus","Annual survival rate","LTA",NA
11,2012,0.976119402985075,"Bus","Annual survival rate","LTA",NA
12,2012,0.991452991452991,"Bus","Annual survival rate","LTA",NA
13,2012,0.988286969253294,"Bus","Annual survival rate","LTA",NA
14,2012,0.971684053651267,"Bus","Annual survival rate","LTA",NA
15,2012,0.988109393579073,"Bus","Annual survival rate","LTA",NA
16,2012,0.974137931034483,"Bus","Annual survival rate","LTA",NA
17,2012,0.825717321997875,"Bus","Annual survival rate","LTA",NA
18,2012,0.827389443651926,"Bus","Annual survival rate","LTA",NA
19,2012,0.337016574585635,"Bus","Annual survival rate","LTA",NA
1,2013,1,"Bus","Annual survival rate","LTA",NA
2,2013,0.992005329780147,"Bus","Annual survival rate","LTA",NA
3,2013,1,"Bus","Annual survival rate","LTA",NA
4,2013,0.997090909090909,"Bus","Annual survival rate","LTA",NA
5,2013,0.69893899204244,"Bus","Annual survival rate","LTA",NA
6,2013,1,"Bus","Annual survival rate","LTA",NA
7,2013,1,"Bus","Annual survival rate","LTA",NA
8,2013,0.97911227154047,"Bus","Annual survival rate","LTA",NA
9,2013,0.959276018099548,"Bus","Annual survival rate","LTA",NA
10,2013,0.771900826446281,"Bus","Annual survival rate","LTA",NA
11,2013,0.985748218527316,"Bus","Annual survival rate","LTA",NA
12,2013,0.977064220183486,"Bus","Annual survival rate","LTA",NA
13,2013,0.955938697318008,"Bus","Annual survival rate","LTA",NA
14,2013,0.934814814814815,"Bus","Annual survival rate","LTA",NA
15,2013,0.929447852760736,"Bus","Annual survival rate","LTA",NA
16,2013,0.96028880866426,"Bus","Annual survival rate","LTA",NA
17,2013,0.858407079646018,"Bus","Annual survival rate","LTA",NA
18,2013,0.917631917631918,"Bus","Annual survival rate","LTA",NA
19,2013,0.451724137931034,"Bus","Annual survival rate","LTA",NA
1,2014,1,"Bus","Annual survival rate","LTA",NA
2,2014,1,"Bus","Annual survival rate","LTA",NA
3,2014,1,"Bus","Annual survival rate","LTA",NA
4,2014,0.998160073597056,"Bus","Annual survival rate","LTA",NA
5,2014,0.994164843180161,"Bus","Annual survival rate","LTA",NA
6,2014,1,"Bus","Annual survival rate","LTA",NA
7,2014,0.99616368286445,"Bus","Annual survival rate","LTA",NA
8,2014,0.991761071060762,"Bus","Annual survival rate","LTA",NA
9,2014,0.948,"Bus","Annual survival rate","LTA",NA
10,2014,0.816037735849057,"Bus","Annual survival rate","LTA",NA
